ChIP experiment uinque ID	Plasmid ID	Gene ID	Sample ID	Submitted sample label	ChIP/INPUT	Replicate #	Comments	Data File ID	Sequencing Facility	Batch #
THC_0158	pTH13648	ZBTB46	pTH13648.1.1	RR_PE0147_ZBTB46_ChIP_1	ChIP	1		Plate_2_C7_S147_R2_001.fastq.gz	DSC	2
THC_0159	pTH13646	ZBTB40	pTH13646.1.1	RR_PE0149_ZBTB40_ChIP_1	ChIP	1		Plate_2_E7_S149_R1_001.fastq.gz	DSC	2
THC_0160	pTH13841	TERB1	pTH13841.1.1	RR_PE0150_TERB1_ChIP_1	ChIP	1		Plate_2_F7_S150_R2_001.fastq.gz	DSC	2
THC_0161	pTH13617	AKAP8L	pTH13617.1.2	RR_PE0154_AKAP8L_ChIP_2	ChIP	2		Plate_2_B8_S154_R1_001.fastq.gz	DSC	2
THC_0162	pTH13594	PHF21A	pTH13594.1.1	RR_PE0155_PHF21A_ChIP_1	ChIP	1		Plate_2_C8_S155_R2_001.fastq.gz	DSC	2
THC_0163	pTH13616	AKAP8	pTH13616.1.1	RR_PE0156_AKAP8L_ChIP_1	CHIP 	1		Plate_2_D8_S156_R2_001.fastq.gz	DSC	2
THC_0164	pTH13633	PEG3	pTH13633.1.1	RR_PE0158_PEG3_ChIP_1	ChIP	1		Plate_2_F8_S158_R1_001.fastq.gz	DSC	2
THC_0165	pTH13618	ANKZF1	pTH13618.1.1	RR_PE0159_ANKZF1_ChIP_1	ChIP	1		Plate_2_G8_S159_R2_001.fastq.gz	DSC	2
THC_0166	pTH13848	ARHGAP35	pTH13848.1.1	RR_PE0161_ARHGAP35_ChIP_3	ChIP	1		Plate_2_A9_S161_R1_001.fastq.gz	DSC	2
THC_0167	pTH13614	AC008770	pTH13614.1.2	RR_PE0162_AC008770_ChIP_2	CHIP 	2		Plate_2_B9_S162_R2_001.fastq.gz	DSC	2
THC_0168	pTH13601	ZBED3	pTH13601.1.1	RR_PE0164_ZBED3_ChIP_1	ChIP	1		Plate_2_D9_S164_R2_001.fastq.gz	DSC	2
THC_0170	pTH13901	TBPL1	pTH13901.1.1	RR_PE0169_TBPL1_ChIP_1	ChIP	1		Plate_2_A10_S169_R2_001.fastq.gz	DSC	2
THC_0171	pTH13868	NACC2	pTH13868.1.2	RR_PE0170_NACC2_ChIP_2	ChIP	2		Plate_2_B10_S170_R2_001.fastq.gz	DSC	2
THC_0172	pTH13903	THAP11	pTH13903.1.2	RR_PE0174_THAP11_ChIP_2	ChIP	2		Plate_2_F10_S174_R2_001.fastq.gz	DSC	2
THC_0173	pTH13887	SMYD3	pTH13887.1.1	RR_PE0175_SMYD3_ChIP_1	ChIP	1		Plate_2_G10_S175_R1_001.fastq.gz	DSC	2
THC_0174	pTH13786	ZSCAN2	pTH13786.1.2	RR_PE0180_ZSCAN2_ChIP_2	ChIP	2		Plate_2_D11_S180_R1_001.fastq.gz	DSC	2
THC_0175	pTH13787	ZSCAN25	pTH13787.1.2	RR_PE0182_ZSCAN25_ChIP_2	ChIP	2		Plate_2_F11_S182_R2_001.fastq.gz	DSC	2
THC_0176	pTH13883	SAFB2	pTH13883.1.2	RR_PE0183_SAFB2_ChIP_4	ChIP	2		Plate_2_G11_S183_R2_001.fastq.gz	DSC	2
THC_0178	pTH13644	TRAFD1	pTH13644.1.1	RR_PE0185_C1_TRAFD1_ChIP_1	ChIP	1		Plate_2_A12_S185_R1_001.fastq.gz	DSC	2
THC_0179	pTH13868	NACC2	pTH13868.1.1	RR_PE0186_F1_NACC2_ChIP_1	ChIP	1		Plate_2_B12_S186_R2_001.fastq.gz	DSC	2
THC_0180	pTH13599	SGSM2	pTH13599.1.2	RR_PE0187_G1_SGSM2_ChIP_2	ChIP	2		Plate_2_C12_S187_R1_001.fastq.gz	DSC	2
THC_0181	pTH13651	ZBTB8A	pTH13651.1.1	RR_PE0188_A2_ZBTB8A_ChIP_1	ChIP	1		Plate_2_D12_S188_R2_001.fastq.gz	DSC	2
THC_0182	pTH13798	TIGD5	pTH13798.1.1	RR_PE0189_D2_TIGD5_ChIP_1	ChIP	1		Plate_2_E12_S189_R2_001.fastq.gz	DSC	2
THC_0183	pTH13787	ZSCAN25	pTH13787.1.1	RR_PE0190_G4_ZSCAN25_ChIP_1	ChIP	1		Plate_2_F12_S190_R1_001.fastq.gz	DSC	2
THC_0184	pTH13593	GLYR1	pTH13593.1.1	RR_PE0191_C5_GLYR1_ChIP_1	ChIP	1		Plate_2_G12_S191_R2_001.fastq.gz	DSC	2
THC_0185	pTH13899	SP140	pTH13899.1.1	SP140ChIP1	ChIP	1		SP140ChIP1_IGO_10521_1_S99_R1_001.fastq.gz	MSK	3
THC_0186	pTH13799	TIGD7	pTH13799.1.1	TIGD7ChIP1	ChIP	1		TIGD7ChIP1_IGO_10521_2_S46_R1_001.fastq.gz	MSK	3
THC_0187	pTH14537	ELF3	pTH14537.1.1	ELF3ChIP1	ChIP	1		ELF3ChIP1_IGO_10521_3_S39_R1_001.fastq.gz	MSK	3
THC_0188	pTH13596	SETBP1	pTH13596.1.1	SETBP1ChIP1	ChIP	1		SETBP1ChIP1_IGO_10521_4_S114_R2_001.fastq.gz	MSK	3
THC_0189	pTH13597	ZFTA	pTH13597.1.1	C11orf95ChIP1	ChIP	1		C11orf95ChIP1_IGO_10521_5_S116_R2_001.fastq.gz	MSK	3
